id,x position,y position,Aperture radius,Total aperture flux,Local mean background per pixel,Total background in aperture,Corrected Aperture flux,Error on corrected flux
1373.0,720.0,2185.0,6.0,391474.0,3422.7563645824716,387104.0,4370.0,857.6520273397598
1374.0,453.0,2296.0,6.0,406274.0,3821.01176811811,432146.0,-25872.0,889.046680439222
1375.0,1967.0,2595.0,17.0,3103089.0,8103.682290226092,7357497.0,-4254408.0,1979.3332210620829
1376.0,1783.0,2828.0,6.0,391957.0,3425.4122626953176,387405.0,4552.0,858.089156206976
1377.0,1192.0,3302.0,6.0,393968.0,3436.21490445768,388626.0,5342.0,859.8918536653316
1378.0,208.0,3780.0,6.0,404815.0,3801.694336900331,429961.0,-25146.0,887.1318954924346
1379.0,627.0,4410.0,6.0,393199.0,3433.60874226455,388332.0,4867.0,859.2921505518365
1380.0,539.0,516.0,6.0,402929.0,3662.234818016058,414189.0,-11260.0,878.1212900277501
1381.0,155.0,708.0,20.0,4303704.0,9423.454761447747,11841862.0,-7538158.0,2291.517619395496
1382.0,1994.0,821.0,6.0,392246.0,3436.423795320488,388650.0,3596.0,858.9022063075632
1383.0,1343.0,1037.0,17.0,3125814.0,8166.061080734172,7414132.0,-4288318.0,1986.6444070341324
1384.0,908.0,1233.0,6.0,404539.0,3781.4717119437173,427674.0,-23135.0,885.8295547112887
1385.0,985.0,1353.0,19.0,3898151.0,9016.654726904862,10225922.0,-6327771.0,2191.9406926283386
1386.0,1289.0,1487.0,6.0,398846.0,3525.371514140971,398710.0,136.0,867.9026443098327
1387.0,676.0,2658.0,6.0,403420.0,3795.815551189874,429296.0,-25876.0,886.0118509365436
1388.0,1986.0,3786.0,6.0,393403.0,3425.839991604877,387453.0,5950.0,858.9563434773621
1389.0,579.0,919.0,19.0,3884642.0,8976.786413660344,10180707.0,-6296065.0,2187.94126977851
1390.0,813.0,976.0,6.0,392449.0,3430.0973863325853,387934.0,4515.0,858.6501033599193
1391.0,1150.0,1225.0,6.0,393058.0,3452.926173482329,390516.0,2542.0,860.3394678846252
1392.0,1529.0,1255.0,6.0,400959.0,3589.5706393106643,405970.0,-5011.0,872.8241518198267
1393.0,1262.0,1395.0,6.0,399004.0,3528.3755636918304,399049.0,-45.0,868.1676105453371
1394.0,2205.0,1883.0,12.0,1548746.0,5988.910983892532,2709319.0,-1160573.0,1466.5663980877239
1395.0,831.0,2156.0,20.0,4303187.0,9404.734161266564,11818337.0,-7515150.0,2290.9941073691134
1396.0,1700.0,2229.0,6.0,391305.0,3423.969921023547,387241.0,4064.0,857.6246265120889
1397.0,1739.0,2390.0,6.0,391388.0,3423.830660448342,387226.0,4162.0,857.6648529583102
1398.0,701.0,2471.0,6.0,393432.0,3438.661911707718,388903.0,4529.0,859.7232112720931
1399.0,373.0,2634.0,8.0,692441.0,4282.9390960744495,861136.0,-168695.0,1059.7211897475675
1400.0,622.0,2718.0,6.0,394297.0,3438.76138354715,388914.0,5383.0,860.2319454658726
1401.0,532.0,2863.0,6.0,392795.0,3425.3227380398284,387394.0,5401.0,858.5720703586858
1402.0,113.0,3239.0,6.0,392767.0,3428.933565811226,387803.0,4964.0,858.7671395669491
1403.0,1678.0,3297.0,6.0,390085.0,3414.8682477154794,386212.0,3873.0,856.3790048804326
1404.0,1797.0,3760.0,6.0,389634.0,3410.7401663790333,385745.0,3889.0,855.8732382777254
1405.0,610.0,3776.0,6.0,391136.0,3426.1185127552876,387484.0,3652.0,857.6520273397598
1406.0,939.0,3809.0,6.0,391909.0,3429.5005552959906,387867.0,4042.0,858.3006466268099
1407.0,1164.0,4369.0,6.0,393138.0,3432.982069676126,388261.0,4877.0,859.2199951118456
